PassengerId,Pclass,Age,SibSp,Parch,Fare,Embarked_encoded,Sex_encoded
696,2,52.0,0,0,13.5,2,1
697,3,44.0,0,0,8.05,2,1
698,3,27.9,0,0,7.73,1,0
699,1,49.0,1,1,110.88,0,1
700,3,42.0,0,0,7.65,2,1
701,1,18.0,1,0,227.53,0,0
702,1,35.0,0,0,26.29,2,1
703,3,18.0,0,1,14.45,0,0
704,3,25.0,0,0,7.74,1,1
705,3,26.0,1,0,7.85,2,1
706,2,39.0,0,0,26.0,2,1
707,2,45.0,0,0,13.5,2,0
708,1,42.0,0,0,26.29,2,1
709,1,22.0,0,0,151.55,2,0
710,3,30.7,1,1,15.25,0,1
711,1,24.0,0,0,49.5,0,0
712,1,30.7,0,0,26.55,2,1
713,1,48.0,1,0,52.0,2,1
714,3,29.0,0,0,9.48,2,1
715,2,52.0,0,0,13.0,2,1
716,3,19.0,0,0,7.65,2,1
717,1,38.0,0,0,227.53,0,0
718,2,27.0,0,0,10.5,2,0
719,3,30.7,0,0,15.5,1,1
720,3,33.0,0,0,7.78,2,1
721,2,6.0,0,1,33.0,2,0
722,3,17.0,1,0,7.05,2,1
723,2,34.0,0,0,13.0,2,1
724,2,50.0,0,0,13.0,2,1
725,1,27.0,1,0,53.1,2,1
726,3,20.0,0,0,8.66,2,1
727,2,30.0,3,0,21.0,2,0
728,3,27.9,0,0,7.74,1,0
729,2,25.0,1,0,26.0,2,1
730,3,25.0,1,0,7.92,2,0
731,1,29.0,0,0,211.34,2,0
732,3,11.0,0,0,18.79,0,1
733,2,30.7,0,0,0.0,2,1
734,2,23.0,0,0,13.0,2,1
735,2,23.0,0,0,13.0,2,1
736,3,28.5,0,0,16.1,2,1
737,3,48.0,1,3,34.38,2,0
738,1,35.0,0,0,512.33,0,1
739,3,30.7,0,0,7.9,2,1
740,3,30.7,0,0,7.9,2,1
741,1,30.7,0,0,30.0,2,1
742,1,36.0,1,0,78.85,2,1
743,1,21.0,2,2,262.38,0,0
744,3,24.0,1,0,16.1,2,1
745,3,31.0,0,0,7.92,2,1
746,1,70.0,1,1,71.0,2,1
747,3,16.0,1,1,20.25,2,1
748,2,30.0,0,0,13.0,2,0
749,1,19.0,1,0,53.1,2,1
750,3,31.0,0,0,7.75,1,1
751,2,4.0,1,1,23.0,2,0
752,3,6.0,0,1,12.47,2,1
753,3,33.0,0,0,9.5,2,1
754,3,23.0,0,0,7.9,2,1
755,2,48.0,1,2,65.0,2,0
756,2,0.67,1,1,14.5,2,1
757,3,28.0,0,0,7.8,2,1
758,2,18.0,0,0,11.5,2,1
759,3,34.0,0,0,8.05,2,1
760,1,33.0,0,0,86.5,2,0
761,3,30.7,0,0,14.5,2,1
762,3,41.0,0,0,7.12,2,1
763,3,20.0,0,0,7.23,0,1
764,1,36.0,1,2,120.0,2,0
765,3,16.0,0,0,7.78,2,1
766,1,51.0,1,0,77.96,2,0
767,1,30.7,0,0,39.6,0,1
768,3,30.5,0,0,7.75,1,0
769,3,30.7,1,0,24.15,1,1
770,3,32.0,0,0,8.36,2,1
771,3,24.0,0,0,9.5,2,1
772,3,48.0,0,0,7.85,2,1
773,2,57.0,0,0,10.5,2,0
774,3,30.7,0,0,7.22,0,1
775,2,54.0,1,3,23.0,2,0
776,3,18.0,0,0,7.75,2,1
777,3,30.7,0,0,7.75,1,1
778,3,5.0,0,0,12.47,2,0
779,3,30.7,0,0,7.74,1,1
780,1,43.0,0,1,211.34,2,0
781,3,13.0,0,0,7.23,0,0
782,1,17.0,1,0,57.0,2,0
783,1,29.0,0,0,30.0,2,1
784,3,30.7,1,2,23.45,2,1
785,3,25.0,0,0,7.05,2,1
786,3,25.0,0,0,7.25,2,1
787,3,18.0,0,0,7.5,2,0
788,3,8.0,4,1,29.12,1,1
789,3,1.0,1,2,20.57,2,1
790,1,46.0,0,0,79.2,0,1
791,3,30.7,0,0,7.75,1,1
792,2,16.0,0,0,26.0,2,1
793,3,27.9,8,2,69.55,2,0
794,1,30.7,0,0,30.7,0,1
795,3,25.0,0,0,7.9,2,1
796,2,39.0,0,0,13.0,2,1
797,1,49.0,0,0,25.93,2,0
798,3,31.0,0,0,8.68,2,0
799,3,30.0,0,0,7.23,0,1
800,3,30.0,1,1,24.15,2,0
801,2,34.0,0,0,13.0,2,1
802,2,31.0,1,1,26.25,2,0
803,1,11.0,1,2,120.0,2,1
804,3,0.42,0,1,8.52,0,1
805,3,27.0,0,0,6.97,2,1
806,3,31.0,0,0,7.78,2,1
807,1,39.0,0,0,0.0,2,1
808,3,18.0,0,0,7.78,2,0
809,2,39.0,0,0,13.0,2,1
810,1,33.0,1,0,53.1,2,0
811,3,26.0,0,0,7.89,2,1
812,3,39.0,0,0,24.15,2,1
813,2,35.0,0,0,10.5,2,1
814,3,6.0,4,2,31.27,2,0
815,3,30.5,0,0,8.05,2,1
816,1,30.7,0,0,0.0,2,1
817,3,23.0,0,0,7.92,2,0
818,2,31.0,1,1,37.0,0,1
819,3,43.0,0,0,6.45,2,1
820,3,10.0,3,2,27.9,2,1
821,1,52.0,1,1,93.5,2,0
822,3,27.0,0,0,8.66,2,1
823,1,38.0,0,0,0.0,2,1
824,3,27.0,0,1,12.47,2,0
825,3,2.0,4,1,39.69,2,1
826,3,30.7,0,0,6.95,1,1
827,3,30.7,0,0,56.5,2,1
828,2,1.0,0,2,37.0,0,1
829,3,30.7,0,0,7.75,1,1
830,1,62.0,0,0,80.0,3,0
831,3,15.0,1,0,14.45,0,0
832,2,0.83,1,1,18.75,2,1
833,3,30.7,0,0,7.23,0,1
834,3,23.0,0,0,7.85,2,1
835,3,18.0,0,0,8.3,2,1
836,1,39.0,1,1,83.16,0,0
837,3,21.0,0,0,8.66,2,1
838,3,30.7,0,0,8.05,2,1
839,3,32.0,0,0,56.5,2,1
840,1,30.7,0,0,29.7,0,1
841,3,20.0,0,0,7.92,2,1
842,2,16.0,0,0,10.5,2,1
843,1,30.0,0,0,31.0,0,0
844,3,34.5,0,0,6.44,0,1
845,3,17.0,0,0,8.66,2,1
846,3,42.0,0,0,7.55,2,1
847,3,30.7,8,2,69.55,2,1
848,3,35.0,0,0,7.9,0,1
849,2,28.0,0,1,33.0,2,1
850,1,27.9,1,0,89.1,0,0
851,3,4.0,4,2,31.27,2,1
852,3,74.0,0,0,7.78,2,1
853,3,9.0,1,1,15.25,0,0
854,1,16.0,0,1,39.4,2,0
855,2,44.0,1,0,26.0,2,0
856,3,18.0,0,1,9.35,2,0
857,1,45.0,1,1,164.87,2,0
858,1,51.0,0,0,26.55,2,1
859,3,24.0,0,3,19.26,0,0
860,3,30.7,0,0,7.23,0,1
861,3,41.0,2,0,14.11,2,1
862,2,21.0,1,0,11.5,2,1
863,1,48.0,0,0,25.93,2,0
864,3,27.9,8,2,69.55,2,0
865,2,24.0,0,0,13.0,2,1
866,2,42.0,0,0,13.0,2,0
867,2,27.0,1,0,13.86,0,0
868,1,31.0,0,0,50.5,2,1
869,3,30.7,0,0,9.5,2,1
870,3,4.0,1,1,11.13,2,1
871,3,26.0,0,0,7.9,2,1
872,1,47.0,1,1,52.55,2,0
873,1,33.0,0,0,5.0,2,1
874,3,47.0,0,0,9.0,2,1
875,2,28.0,1,0,24.0,0,0
876,3,15.0,0,0,7.22,0,0
877,3,20.0,0,0,9.85,2,1
878,3,19.0,0,0,7.9,2,1
879,3,30.7,0,0,7.9,2,1
880,1,56.0,0,1,83.16,0,0
881,2,25.0,0,1,26.0,2,0
882,3,33.0,0,0,7.9,2,1
883,3,22.0,0,0,10.52,2,0
884,2,28.0,0,0,10.5,2,1
885,3,25.0,0,0,7.05,2,1
886,3,39.0,0,5,29.12,1,0
887,2,27.0,0,0,13.0,2,1
888,1,19.0,0,0,30.0,2,0
889,3,27.9,1,2,23.45,2,0
890,1,26.0,0,0,30.0,0,1
891,3,32.0,0,0,7.75,1,1
